GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MANDATORY_TEST_ONE,default,Purchase,0,127,0,16,0,36,0,20,0,8
MANDATORY_TEST_ONE,default,Run,4,0,0,0,2,0,2,0,2,0
